Deudor;Población;Frecuencia de visita;Desde centro;Oficina de ventas;Denominación Gr#Clientes 5;Denominación Gr#Clientes 4
3001890;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001900;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
3001907;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001920;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001925;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001927;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001957;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001960;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3001962;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001964;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001968;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001974;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001981;SOACHA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001986;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001987;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002001;FUSAGASUGÁ;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002008;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002035;DUITAMA;2;6038;Bogota;DI MULTIEMPRESA;ORO
3002038;BOGOTÁ D.C.;5;6038;Bogota;MAYORISTAS;SEGMENTO 1
3002047;SIBATÉ;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002048;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002055;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002058;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3002066;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002076;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002081;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002113;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002119;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002130;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002137;CHÍA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002139;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3002154;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002167;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002188;BOGOTÁ D.C.;5;6038;Bogota;MAYORISTA ESPEC.;BLACK
3002196;NEMOCÓN;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002197;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002200;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3002203;FUNZA;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002209;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002224;RESTREPO;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002229;FUNZA;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002230;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3002273;BOGOTÁ D.C.;5;6038;Bogota;INTERMEDIOS;PLATA
3002363;SOACHA;5;6038;Bogota;SUP. INDEPENDIENTE;SEGMENTO 1
3002370;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SEGMENTO 1
3002374;IBAGUÉ;5;6038;Bogota;MAYORISTAS;PLATA
3002390;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
