Mes,Cliente,CodProducto,compro,compro_mes_ant,veces_comprado,mes_idx,freq_compra,Mes_ant,ventas_cliente_ant,productos_ant,target,Frecuencia de visita,oficina_enc,seg5_enc,seg4_enc,producto_enc,prob_compra,ranking,Oficina de ventas,Denominación Gr#Clientes 4,Denominación Gr#Clientes 5
202605,3001310,M500,0,0,0.0,5,0.0,202604.0,17971.44,1.0,0,5,2,11,3,2,0.09463817851879268,3,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001322,M827,0,0,0.0,5,0.0,202604.0,11333.32,1.0,0,5,2,11,3,6,0.16069339530723437,1,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001322,M500,0,0,0.0,5,0.0,202604.0,11333.32,1.0,0,5,2,11,3,2,0.09463817851879268,2,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001322,M511,0,0,0.0,5,0.0,202604.0,11333.32,1.0,0,5,2,11,3,4,0.08148889376662491,3,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001326,M899,0,1,3.0,5,0.6,202604.0,1770428.54,5.0,0,5,2,11,8,10,0.6433901736584879,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001326,M511,0,1,2.0,5,0.4,202604.0,1770428.54,5.0,0,5,2,11,8,4,0.5841400881733261,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001326,M509,0,1,1.0,5,0.2,202604.0,1770428.54,5.0,0,5,2,11,8,3,0.34559559425704856,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001327,M899,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,11,8,10,0.019267406697932508,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001349,M898,0,1,2.0,5,0.4,202604.0,771638.12,4.0,0,5,2,11,8,9,0.5257200073336727,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001349,M1111,0,1,1.0,5,0.2,202604.0,771638.12,4.0,0,5,2,11,8,0,0.33984389459339853,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001349,M973,0,1,1.0,5,0.2,202604.0,771638.12,4.0,0,5,2,11,8,11,0.24387173111943872,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001376,M500,0,1,3.0,5,0.6,202604.0,1175185.71,9.0,0,5,2,11,8,2,0.6384845578639763,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001376,M866,0,1,2.0,5,0.4,202604.0,1175185.71,9.0,0,5,2,11,8,7,0.41904088180964755,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001376,M973,0,1,2.0,5,0.4,202604.0,1175185.71,9.0,0,5,2,11,8,11,0.3714322443983179,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001385,M500,0,0,1.0,5,0.2,202604.0,34971.42,2.0,0,5,2,11,3,2,0.3265156244404158,1,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001385,M898,0,0,1.0,5,0.2,202604.0,34971.42,2.0,0,5,2,11,3,9,0.2884763455985032,2,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001385,M511,0,0,0.0,5,0.0,202604.0,34971.42,2.0,0,5,2,11,3,4,0.08148889376662491,3,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001395,M823,0,0,1.0,5,0.2,202604.0,0.0,0.0,0,5,2,11,8,5,0.44588959174487885,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001395,M827,0,0,1.0,5,0.2,202604.0,0.0,0.0,0,5,2,11,8,6,0.4444500060925722,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001395,M509,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,11,8,3,0.18671070305111956,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001403,M898,0,0,0.0,5,0.0,202604.0,9306284.8,3.0,0,2,2,1,4,9,0.10531176638318929,1,Bogota,ORO,CAD. REGIONALES
202605,3001403,M823,0,0,0.0,5,0.0,202604.0,9306284.8,3.0,0,2,2,1,4,5,0.08074829406346548,2,Bogota,ORO,CAD. REGIONALES
202605,3001403,M827,0,0,0.0,5,0.0,202604.0,9306284.8,3.0,0,2,2,1,4,6,0.08074829406346548,3,Bogota,ORO,CAD. REGIONALES
202605,3001404,M823,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,5,0.10029588142906708,1,Bogota,ORO,CAD. REGIONALES
202605,3001404,M827,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,6,0.10029588142906708,2,Bogota,ORO,CAD. REGIONALES
202605,3001404,M511,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,4,0.0992329929556561,3,Bogota,ORO,CAD. REGIONALES
202605,3001405,M823,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,5,0.10029588142906708,1,Bogota,ORO,CAD. REGIONALES
202605,3001405,M827,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,6,0.10029588142906708,2,Bogota,ORO,CAD. REGIONALES
202605,3001405,M511,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,4,0.0992329929556561,3,Bogota,ORO,CAD. REGIONALES
