Cliente,CodProducto,prob_compra,compro
3001043,M1111,0.04018936485742827,0
3001043,M1114,0.037994659801735185,0
3001043,M500,0.07552350015028264,0
3001043,M509,0.07820887458511182,0
3001043,M511,0.0722806593711554,0
3001043,M823,0.08660310630456693,0
3001043,M827,0.08660310630456693,0
3001043,M866,0.0430859240382674,0
3001043,M872,0.02781243547892741,0
3001043,M898,0.06944503762253279,0
3001043,M899,0.029087726999220652,0
3001043,M973,0.029813411944622684,0
3001044,M1111,0.07924540836511831,0
3001044,M1114,0.07508473528221646,0
3001044,M500,0.10735435817496472,0
3001044,M509,0.11103559932173233,0
3001044,M511,0.10289688281274861,0
3001044,M823,0.1224849849764251,0
3001044,M827,0.1224849849764251,0
3001044,M866,0.09844499941511427,0
3001044,M872,0.06487782482358923,0
3001044,M898,0.15190816755442818,0
3001044,M899,0.0678780025735799,0
3001044,M973,0.06950215762000028,0
3001045,M1111,0.045403602807034274,0
3001045,M1114,0.04293689089825492,0
3001045,M500,0.08156686438697625,0
3001045,M509,0.08444749281210547,0
3001045,M511,0.07808645067473427,0
3001045,M823,0.09344344317205107,0
3001045,M827,0.09344344317205107,0
3001045,M866,0.04666466462643074,0
3001045,M872,0.03016253953880792,0
3001045,M898,0.07504148711068988,0
3001045,M899,0.03154209483540727,0
3001045,M973,0.032326972969571564,0
3001213,M1111,0.06047411250397304,0
3001213,M1114,0.8667225050651752,1
3001213,M500,0.06332568018569137,0
3001213,M509,0.06560811896592497,0
3001213,M511,0.8924134256079104,1
3001213,M823,0.08743503296167557,0
3001213,M827,0.08743503296167557,0
3001213,M866,0.06058104993065387,0
3001213,M872,0.046870646039929,0
3001213,M898,0.10193227561522392,0
3001213,M899,0.05337657660213518,0
3001213,M973,0.05673254693294798,0
3001214,M1111,0.06047411250397304,0
3001214,M1114,0.857955898515075,1
3001214,M500,0.06332568018569137,0
3001214,M509,0.06560811896592497,0
3001214,M511,0.8866161368069803,1
3001214,M823,0.08743503296167557,0
3001214,M827,0.08743503296167557,0
3001214,M866,0.06058104993065387,0
3001214,M872,0.046870646039929,0
3001214,M898,0.10193227561522392,0
3001214,M899,0.05337657660213518,0
3001214,M973,0.05673254693294798,0
3001215,M1111,0.057753613167025306,0
3001215,M1114,0.8829207430914947,1
3001215,M500,0.06048515824284448,0
3001215,M509,0.06267206667469932,0
3001215,M511,0.9051986479240959,1
3001215,M823,0.08360959952688547,0
3001215,M827,0.08360959952688547,0
3001215,M866,0.057856036130796006,0
3001215,M872,0.039327285526210655,0
3001215,M898,0.09480925756553431,0
3001215,M899,0.05162640875068083,0
3001215,M973,0.0543029852781079,0
3001216,M1111,0.06047411250397304,0
3001216,M1114,0.8109905686476093,1
3001216,M500,0.06073847354799648,0
3001216,M509,0.06293392736366481,0
3001216,M511,0.8436108131963979,1
3001216,M823,0.08395110752009238,0
3001216,M827,0.08395110752009238,0
3001216,M866,0.06705977520704091,0
3001216,M872,0.05494129772472486,0
3001216,M898,0.11230456574330666,0
3001216,M899,0.059133331637477055,0
3001216,M973,0.06282722673904485,0
3001295,M1111,0.029750470450044312,0
3001295,M1114,0.028465998481573575,0
3001295,M500,0.4207338515671151,0
3001295,M509,0.4448414917772498,1
3001295,M511,0.08469357592886208,0
3001295,M823,0.686334515062703,1
3001295,M827,0.4086476867245532,1
3001295,M866,0.025026978179836613,0
3001295,M872,0.016192116943264768,0
3001295,M898,0.04174568179874479,0
3001295,M899,0.01697968153944635,0
3001295,M973,0.017408709416556867,0
3001302,M1111,0.02344074977348677,0
3001302,M1114,0.02344074977348677,0
3001302,M500,0.41137278852918796,0
3001302,M509,0.11343311050613139,0
3001302,M511,0.08258767067701515,0
3001302,M823,0.17978174097560295,0
3001302,M827,0.178923881742824,0
3001302,M866,0.01964312751583117,0
3001302,M872,0.012684112379008352,0
3001302,M898,0.028689517693466473,0
3001302,M899,0.012467789310057537,0
3001302,M973,0.012784297221970638,0
3001306,M1111,0.45197755377755877,1
3001306,M1114,0.4327399886136785,1
3001306,M500,0.37121723812090046,0
3001306,M509,0.36070799992008024,0
3001306,M511,0.12401231854405725,0
3001306,M823,0.21535758902679214,0
3001306,M827,0.41770791912756955,0
3001306,M866,0.3262077128933299,0
3001306,M872,0.174992486218467,0
3001306,M898,0.7115723599891258,0
3001306,M899,0.022196570590094087,0
3001306,M973,0.20099195661872918,1
3001310,M1111,0.03336678676942704,0
3001310,M1114,0.032283981987541774,0
3001310,M500,0.09463817851879268,0
3001310,M509,0.42428396315279354,1
3001310,M511,0.08148889376662491,0
3001310,M823,0.3775860852636751,0
3001310,M827,0.16069339530723437,0
3001310,M866,0.024983920403870253,0
3001310,M872,0.016019965876363597,0
3001310,M898,0.03160584267774884,0
3001310,M899,0.013531021428173263,0
3001310,M973,0.013874141394381012,0
3001322,M1111,0.03336678676942704,0
3001322,M1114,0.032283981987541774,0
3001322,M500,0.09463817851879268,0
3001322,M509,0.10518138925933744,1
3001322,M511,0.08148889376662491,0
3001322,M823,0.45065622965219015,1
3001322,M827,0.16069339530723437,0
3001322,M866,0.024983920403870253,0
3001322,M872,0.016019965876363597,0
3001322,M898,0.03160584267774884,0
3001322,M899,0.013531021428173263,0
3001322,M973,0.013874141394381012,0
3001326,M1111,0.46490367321566656,1
3001326,M1114,0.07932867397179452,0
3001326,M500,0.11710919445576946,0
3001326,M509,0.34559559425704856,0
3001326,M511,0.5841400881733261,0
3001326,M823,0.22145071707410155,0
3001326,M827,0.22044746629452527,0
3001326,M866,0.6608980869109373,1
3001326,M872,0.038730755177179964,0
3001326,M898,0.8068957747898768,1
3001326,M899,0.6433901736584879,0
3001326,M973,0.04209392106223328,0
3001327,M1111,0.34678039262570576,1
3001327,M1114,0.3443957379359814,1
3001327,M500,0.42148525213289983,1
3001327,M509,0.18671070305111956,1
3001327,M511,0.4037014158388045,1
3001327,M823,0.5036948622745989,1
3001327,M827,0.5022378055587191,1
3001327,M866,0.25865447867252656,1
3001327,M872,0.1828099816463419,1
3001327,M898,0.40422783309184984,1
3001327,M899,0.019267406697932508,0
3001327,M973,0.01975307729717866,1
3001349,M1111,0.33984389459339853,0
3001349,M1114,0.06371953596600236,1
3001349,M500,0.11444738611067062,0
3001349,M509,0.44116241827350255,1
3001349,M511,0.5100035456470265,1
3001349,M823,0.20707496342384776,0
3001349,M827,0.2061195975983581,0
3001349,M866,0.04250975385811526,1
3001349,M872,0.030017492988013064,1
3001349,M898,0.5257200073336727,0
3001349,M899,0.23609846057151565,0
3001349,M973,0.24387173111943872,0
3001376,M1111,0.10757688956734436,0
3001376,M1114,0.09283030149854592,0
3001376,M500,0.6384845578639763,0
3001376,M509,0.6593045826297466,1
3001376,M511,0.7506225821335479,1
3001376,M823,0.7204072103510044,1
3001376,M827,0.7166442593982388,1
3001376,M866,0.41904088180964755,0
3001376,M872,0.3563459729577239,1
3001376,M898,0.7825512137270694,1
